Songs_title,lyrics,Unnamed: 0.1,link,duble_check
백예린 - Antifreeze,"우린 오래전부터 어쩔 수 없는 거였어
우주 속을 홀로 떠돌며 많이 외로워하다가
어느 순간 태양과 달이 겹치게 될 때면
모든 것을 이해할 수 있을 거야

하늘에선 비만 내렸어
뼈 속까지 다 젖었어
얼마 있다 비가 그쳤어
대신 눈이 내리더니
영화서도 볼 수 없던 눈보라가 불 때
너는 내가 처음 봤던 눈동자야

낯익은 거리들이 거울처럼 반짝여도
니가 건네주는 커피 위에 살얼음이 떠도
우리 둘은 얼어붙지 않을 거야
바다 속의 모래까지 녹일 거야
춤을 추며 절망이랑 싸울 거야
얼어붙은 아스팔트 도시 위로

숨이 막힐 거 같이 차가웠던 공기 속에
너의 체온이 내게 스며들어 오고 있어
우리 둘은 얼어붙지 않을 거야
바다 속의 모래까지 녹일 거야
춤을 추며 절망이랑 싸울 거야
얼어붙은 아스팔트 도시 위로


너와 나의 세대가 마지막이면 어떡해
또 다른 빙하기가 찾아오면 어떡해
긴 세월에 변하지 않을 그런 사랑은 없겠지만
그 사랑을 기다려줄 그런 사람을 찾는 거야
긴 세월에 변하지 않을 그런 사랑은 없겠지만
그 사랑을 기다려줄 그런 사람을 찾는 거야

긴 세월에 변하지 않을 그런 사랑은 없겠지만
그 사랑을 기다려줄 그런 사람을 찾는 거야
긴 세월에 변하지 않을 그런 사랑은 없겠지만
그 사랑을 기다려줄 그런 사람을 찾는 거야",,,
나이트오프 - 잠,"점점 좁아지던 골목의
막힌 끝에 서서
외투 위의 먼지를 털다 웃었어
벽에 기대어 앉으며 짐을 내려놓으니
한 줌의 희망이 그토록 무거웠구나
탓할 무언가를 애써 떠올려봐도
오직 나만의 어리석음 뿐이었네
나 조금 누우면 안 될까
잠깐 잠들면 안 될까
날도 저무는데
아무도 없는데
나 조금 누우면 안 될까
이대로 잠들면 안 될까
따뜻한 꿈속에서
조금 쉬고 올 거야
많은 게 달라지고
변하고 시들어 가고
애써 감춰온 나의 지친 마음도
더는 필요 없을 자존심을 내려놓으니
이젠 나 자신을 가엾어해도 되겠지
탓할 무언가를 애써 떠올려봐도
오직 나만의 어리석음 뿐이었네
나 조금 누우면 안 될까
잠깐 잠들면 안 될까
날도 저무는데
아무도 없는데
나 조금 누우면 안 될까
이대로 잠들면 안 될까
따뜻한 꿈속에서
못다한 악수와 건배를 나누며
이제 와 뭘 어쩌겠냐고
웃으며 웃으며
모두 보고 싶다
나 조금 누우면 안 될까
잠깐 잠들면 안 될까
날도 저무는데
아무도 없는데
나 조금 누우면 안 될까
이대로 잠들면 안 될까
따뜻한 꿈속에서
조금 쉬고 올 거야",,,
이희상 - 애열,"걱정하지 마
우린 영원할 거잖아
네 곁에 있으면
언제나 환상 같아
사라지지마
서로가 미워진대도
네 옆에 앉으면
언제나 사랑이야
결국 우린 변하고야 말겠지
금세 사랑은 더 잊혀져가고
영원할 거란 말에 끄덕이던
그 시절 우리의 감정은 떠나가고 어디에
떠내려가네 내 사랑
내 곁에 있어줘
그대가 사라져도
기억할 거야 영원히
모든 게 잊혀진대도
결국 우린 변하고야 말겠지
금세 사랑은 더 잊혀져가고
영원할 거란 말에 끄덕이던
그 시절 우리의 감정은 떠나가고 어디에
떠내려가네 내 사랑
내 곁에 있어줘
그대가 사라져도
기억할 거야 영원히
모든 게 잊혀진대도",,,
혁오 - Love Ya!,"두려워하지 마세요
우리 담요를 차기 풍선 만듭니다
내부에 숨어 있습니다
나는 내 사랑을 당신의 입술에 날려 버릴 것입니다
이 조용한 순간을 사랑하십시오
당신은 누굴 구할 것입니까
최고의 친구라면
그리고 나는 익사하고있다
친구를 구할 것입니다
당신은 스님 물개와 같기 때문입니다
그리고 당신은 물었다
사랑해요
당신은 나를 얼마나 사랑할 수 있습니까?
emm 그냥
천 단어없이
그리고 나는 말할 것입니다
나는 사랑해 사랑해
나는 사랑해 사랑해
두려워하지 마세요
당신의 작은 지점을 숨기십시오
내 반지 손가락으로
이름을 넣으겠습니다
당신의 각각
모든 머리카락
이 조용한 순간을 사랑하십시오
당신은 누굴 구할 것입니까
최고의 친구라면
그리고 나는 익사하고있다
친구를 구할 것입니다
당신은 스님 물개와 같기 때문입니다
당신은 나와 같습니다
그리고 나는 당신과 같습니다
지금 생각하는 것
항상 나와 동일합니다
그래서 내가 사랑에 빠진 이유입니다
나는 사랑해 사랑해
나는 사랑해 사랑해
나는 사랑해 사랑해
나는 사랑해 사랑해
나는 사랑해 사랑해
나는 사랑해",,,
검정치마 - 나랑 아니면,"야 나랑 놀자 밤늦게까지
함께 손뼉 치면서
나랑 마셔 너와 나의
몸이 녹아 내리면
나랑 걷자 저 멀리까지
가다 지쳐 누우면
나랑 자자 두 눈 꼭 감고
나랑 입 맞추자
나랑 아니면 누구랑
사랑 할 수 있겠니
나랑 아니면 어디에
자랑 할 수 있겠니
나랑 아니면
야 나랑 놀자 어디 가지 말고
그리울 틈 없도록
나랑 살자 아주 오랫동안
우리 같이 살자
나랑 아니면 누구랑
사랑 할 수 있겠니
나랑 아니면 어디에
자랑 할 수 있겠니
나랑 아니면
아무렇지 않게 넌 내게 말했지
날 위해 죽을 수도 죽일 수도 있다고
알아 나도 언제나
같은 마음이야 baby
아마도 우린 오래
아주 오래 함께할 거야",,,
N@di - 편지,"달이 뜰 때
두 밤 지나고 나면
우리 함께 하자던
약속 있고 두 달이 지나요
우리 둘 다 지쳐 쓰러진 날엔
작은 눈밭에서 구르다 또 웃다가
내일 같지 않아서 울어요
아 아
우산이 막 젖어드는 날에는
바깥의 풍경마저
나를 재우는 듯 방안을 다 적시지만
나는 아직 울먹입니다 채 말을 다 못한
눈물들로 함께 그대와 안고 싶어요
아아 사랑해요
느리던 밤을 같이 웃고
그렇게 잠드는 저녁들을 지나
우리 기억해요 지난날들까지도
사랑인 걸 그대 나에게 와줘요
아아 사랑해요
느리던 밤을
같이 웃고 그렇게 잠드는 저녁들을 지나
우리 기억해요 지난날들까지도
사랑인 걸 그대 나에게 와줘요",,,
"다섯 - ,","하나!둘!셋! 넷!다섯!

다섯 마리
아기 오리가
연못에 놀러 갔어요.
엄마 오리가
꽥, 꽥, 꽥, 꽥
네 오리만 돌아 왔어요.

하나!둘!셋! 넷!

네마리
아기 오리가 .
연못에 놀러 갔어요.
엄마 오리가.
꽥, 꽥, 꽥, 꽥
세 오리만 돌아 왔어요.

하나!둘!셋!

세 마리
아기 오리가
연못에 놀러 갔어요
엄마 오리가
꽥, 꽥, 꽥, 꽥
두 오리만 돌아 왔어요.

하나!둘!

두마리
아기 오리가
연못에 놀러 갔어요
엄마 오리가
꽥, 꽥, 꽥, 꽥
한 오리만 돌아 왔어요.
하나!

한마리
아기 오리가
연못에 놀러 갔어요
엄마 오리가
꽥, 꽥, 꽥, 꽥
아무도 돌아오지 않아요.

엄마오리
펑펑 울어요
아기오리 사라 졌어요
아빠 오리가
꽥, 꽥, 꽥, 꽥
다섯 오리 돌아 왔어요",,,
정우물 - blue,"순수했었던 그 시절엔
어떤 색깔만 봐도 특별했던
그런 나를 보면 참 슬퍼요
외로움도 많았던 그 시기도
지금 생각해보면 순진했고
그런 나를 보면 참 슬퍼요
서서히 나는 작아지고
아무도 모르게 조용히 울고
처음 헤어졌었던 그 기억도
점점 무뎌져가며 감정없는
그런 나를 보면 참 슬퍼요
서서히 나는 작아지고
아무도 모르게 조용히 울고
서서히 나를 달래어주면
다시 밝게비추는 나를 보며 웃고",,,
wave to earth - seasons,"나는 당신의 사랑이 될 수 없습니다
지금 당신에게는 너무 사소한 것 같습니다
오, 내 인생은 무너지고 있습니다
내가 사라지면 아무도 알지 못할 것입니다
그러나 나는 항상 당신을 위해기도 할 것입니다
내가 당신 옆에있을 수 있다면
내 시즌 내 평생을 줄 것입니다
나는 당신의 사랑이 될 수 없습니다
당신의 삶을 망칠 까봐 두려워
잎이 시들어 버렸을 때
그리고 다시 자랐습니다. 당신은 멀리갔습니다
나는 데이지를 밀어 올릴 것이다
그리고 여기에 모든 기회를 가져 오십시오
그러나 나는 항상 당신을 위해기도 할 것입니다
내가 당신 옆에있을 수 있다면
내 시즌 내 평생을 줄 것입니다
당신 옆에 나는 당신의 계절이 될 것입니다
나의 사랑",,,
The 1975 - About You,"나는 장소를 알고있다
내가가는 곳입니다
당신의 얼굴을 기억해야 할 때
우리는 머리 속에서 결혼합니다
우리가 시도하는 동안해야 할 일
우리가 어떻게 만났는지 기억하십시오
내가 잊어 버린 것 같아?
내가 잊어 버린 것 같아?
내가 잊었다고 생각하니?
당신에 대해?
당신과 나 (놓지 마)
우리는 살아있다 (놓지 마)
할 수있는 일은없이 할 수 있습니다
누워서 눈을 바라보세요
잠깐 (놓지 마)
그리고 척하십시오 (놓지 마십시오)
붙잡고 희망합니다
우리는 결국 우리의 길을 찾을 것입니다
내가 잊어 버린 것 같아?
내가 잊혀진 것 같아?
내가 잊었다고 생각하니?
당신에 대해?
내가 잊혀진 것 같아?
내가 잊어 버린 것 같아?
내가 잊었다고 생각하니?
당신에 대해?
당신에 대해 뭔가가있었습니다
지금은 기억할 수 없습니다
그것은 똑같은 빌어 먹을 것입니다
내 마음이 항복했다
그리고 기차에서 당신을 그리워 할게요
아침에 당신이 그리워요
나는 무엇에 대해 생각 해야할지 전혀 모른다
나는 당신에 대해 생각합니다
당신에 대해
당신은 생각하십니까?
나는 당신에 대해 잊었습니까?
당신에 대해
당신에 대해
당신은 생각하십니까?
나는 당신에 대해 잊었습니까?
당신에 대해",,,
예빛 - 소낙비,"하얀 꽃이 피는 날엔
어김없이 나를 찾아온다구요
이 밤도 그믐달도 지는 날엔
맘이 자꾸 내일로 가요
훗날 궂은 비가 내려와도
나는 그 자리에 있어요
아무도 찾지 않는 그곳에서
멍하니 하늘만 보네요
훗날 검은 비가 내려와도
내 맘 절대 물들지 않아요
아무도 찾지 않는 나를 따라
애꿎은 비만 내려요",,,
cosmic boy - 겨울(feat.선우정아&유라),"영화처럼 지나가버렸어요
그렇게 순식간에 한 해가 끝나가요
1 작은 그 숫자 안에
온갖 이야기들이
끝과 시작을 맞아요
모두 다 함께 말이에요
내가 바랬던 것
하지만 안 이루어진 것
차가운 공기 속에 후후 불어
날려 보내야죠 뭐
얼어붙은 손에 바램을 담아서
자그만 온기라도 호오
예쁘게 녹여야죠 뭐
어쩌겠어요
이상해 이렇게 추운데
다 괜찮을 것 같은 기분
그림을 그릴래
하얗게 덮인 추억 위에
또다른 소원을
마음을
사랑을
나의 소리는 소음
아픔 무방비 noir
이속에서 날 물어 뜯는
무언가는 미련 미련
나 묻지 말고 보내주오
우리는 풍석같은 파도야
때로는 선물 불안한 소음
그땐 왜 몰랐을까 왜
사랑했다 말해주오
미워했다 말해주오
미소짓고 있는 연습
그냥 흐르게 두고 있는 안녕
나의 소리는 소음
나의 소리는 소음
이속에서 날 물어뜯는 무언가는
초조한 불안 같은 건
차가운 공기 속에 후후 불어
날려 보내야죠 뭐
얼어붙은 손에 바램을 담아서
자그만 온기라도 호오
예쁘게 녹여야죠 뭐
어쩌겠어요
이상해 이렇게 추운데
다 괜찮을 것 같은 기분
그림을 그릴래
하얗게 덮인 추억 위에
또다른 소원을
마음을
사랑을
영화처럼 지나가버렸어요
그렇게 순식간에 한 해가 끝나가요
1 작은 그 숫자 안에
온갖 이야기들이
끝과 시작을 맞아요
모두 다 함께 말이에요",,,
브로콜리너마저 - 이웃에 방해가 되지 않는 선에서,"친구가 내게 말을 했죠
기분은 알겠지만 시끄럽다고
음악 좀 줄일 수 없냐고
네 그러면 차라리 나갈게요
그래 알고 있어 한심한 걸
걱정 끼치는 건 나도 참 싫어서
슬픈 노랠 부르면서
혼자서 달리는 자정의 공원
그 여름날 밤 가로등 그 불빛아래
잊을 수도 없는 춤을 춰
귓가를 울리는 너의 목소리에
믿을 수도 없는 꿈을 꿔
이제는 늦은 밤 방 한구석에서
헤드폰을 쓰고 춤을 춰
귓가를 울리는 슬픈 음악 속에
난 울 수도 없는 춤을 춰
내일은 출근해야 하고
주변의 이웃들은 자야 할 시간
벽을 쳤다간 아플 테고
갑자기 떠나버릴 자신도 없어
그래 알고 있어 한심한 걸
걱정 끼치는 건 나도 참 싫어서
슬픈 노랠 부르면서
혼자서 달리는 자정의 공원
그 여름날 밤 가로등 그 불빛아래
잊을 수도 없는 춤을 춰
귓가를 울리는 너의 목소리에
믿을 수도 없는 꿈을 꿔
이제는 늦은 밤 방 한구석에서
헤드폰을 쓰고 춤을 춰
귓가를 울리는 슬픈 음악 속에
난 울 수도 없는 춤을 춰",,,
카더가든 - 꿈을 꿨어요,"할 수 없던 말들 기대어 숨던 곳을
나 오늘에서야 돌아봐요
낮은 천장 위로 열어본 둘의 소원
그때도 난 내가 가여웠을까
멀어진 품 되돌아갈 순 없지만
나는 볼 수 있어요
서러움 반 그저 사랑은 아니었던
꿈을 꿨어요
몰래 빠져나온 거리 위로 뉘어진
네온 사이 난 춤을 췄어요
엄마의 그 노래 기억하고 있단 게
알아요 이젠 더 선명한 것을
멀어진 품 되돌아갈 순 없지만
나는 볼 수 있어요
서러움 반 그저 사랑은 아니었던
꿈을 꿨어요
잊어가고 잃어버린다는 걸
난 나누어 느낄 수가 있고
머물 수가 없어 살아내려 운 것은
지금이 됐기에",,,
참솜 - 명왕성,"우린 만나고 헤어지는 날이 많았지
그땐 이대로 멀어질줄도 모른 채
이끌림에 따른 이 떨림 속에만
헛된 꿈을 꾸고 말았지
멀어진 넌 작은 별
사라져만 가버려
너라는 기억조차 남지 못한 채
오늘따라 밤은 더 기네
우린 서로의 맘을 다 세지 못했지
검은 하늘의 파란 별들이 그렇듯
설렘과 잦은 망상들 속에 난
당치 않는 꿈에 잠겨 살았지
멀어진 넌 작은 별
사라져만 가버려
너라는 기억조차 남지 못한 채
오늘따라 밤은 더 기네
아 잡은 건
멀어져만 가버려
너라는 기억조차 붙잡지 못한 채
오늘따라 밤은 더 기네",,,
김수영 - 비워내려고 합니다,"날 사랑하겠대 좋아하겠대
내가 하는 뭐든 다 너무 좋대
서서히 나 너에게 빠져드는데
나란히 걸었던 건 아닌가 봐
이렇게도 내가 넌 궁금해
다 말해 달래
내가 원하는 거 같이 느끼고 싶대
그런 말들에 나 서서히 빠져드는데
너는 아니었나 봐
오 사랑인가 봐
이번엔 진짜야
그렇게 믿을래
이렇게 아픈데 혼자 견뎌야 한대
나는 또 이렇게
아픈 사랑을 비워내려고 합니다
나만 바라보겠대 좋아하겠대
내가 원하는 거 다 해주겠대
서서히 나 너에게 다가가는데
자꾸만 넌 멀리 떠나가나 봐
이렇게 또 내가 넌 궁금해
다 말해 달래
내가 원하는 거 같이 느끼고 싶대
그런 말들에 나 서서히 빠져드는데
너는 아니었나 봐
오 사랑인가 봐
이번엔 진짜야
그렇게 믿을래
이렇게 아픈데 혼자 견뎌야 한대
나는 또 이렇게
아픈 사랑을 비워내려고 합니다",,,
BMK - 꽃피는 봄이 오면,"꽃피는 봄이오면

니가 떠난 그 후로
내 눈물은 얼 수 없나봐
얼어붙고 싶어도
다시 흐른 눈물 때문에
널 잃은 내 슬픔에
세상이 얼어도
날이 선 미움이 날 할퀴어도
뿌리 깊은 사랑을
이젠 떼어낼 수 없나봐
처음부터 넌 내 몸과
한 몸이었던 것처럼
그 어떤 사랑조차 꿈도 못꾸고
이내 널 그리고 또 원하고
난 니 이름만 부르짖는데
다시 돌아올까
네가 내 곁으로 올까
믿을 수가 없는데
믿어주면 우린 너무 사랑한
지난 날처럼 사랑하게 될까
그 때의 맘과 똑같을까
계절처럼 돌고 돌아
다시 꽃 피는 봄이 오면
기다리는 이에겐
사랑말곤 할게 없나봐
그 얼마나 고단한지
가늠도 못했었던 나
왜 못 보내느냐고
오 왜 우냐고
자꾸 날 꾸짖고 날 탓하고
또 그래도 난 너를 못잊어
다시 돌아올까
네가 내 곁으로 올까
믿을 수가 없는데
믿어주면 우린 너무 사랑한
지난 날처럼 사랑하게 될까
그 때의 맘과 똑같을까
계절처럼 돌고 돌아
다시 꽃 피는 봄이 오면
참 모질었던 삶이였지만
늘 황폐했던 맘이지만
그래도 너 있어 눈부셨어
널 이렇게도 그리워
견딜 수가 없는 건
나 그 때의 나 그 날의
내 모습이 그리워
시간에게 속아
다른 누굴 허락하고
다른 누군가에게
기대 서로 묻고 산다고 해도
날 기억해줘 한 순간이지만
우리가 사랑했다는 걸
너와 나눈 사랑은 참
삶보다 짧지만
내 추억 속에 사는 사랑은
영원할테니까
꼭 찰나같아 찬란했던
그 봄날은",,,
언니네 이발관 - 가장 보통의 존재,"- 가장 보통의 존재 -

관심을 애처로이 떠나보내고
내가 온 별에선 연락이 온지
너무 오래되었지
아무도 찾지 않고
어떤 일도 생기지
않을 것을 바라며
살아온 내가 어느날 속삭였지
나도 모르게
이런 이런 큰일이다
너를 마음에 둔게
당신을 애처로이 떠나보내고
그대의 별에선 연락이 온지
너무 오래되었지
너는 내가 흘린 만큼의 눈물
나는 니가 웃은 만큼의 웃음
무슨 서운하긴
다 길 따라 가기 마련이지만
그래도 먼저 손 내밀어 주길
나는 바랬지
나에겐 넌 너무나 먼 길
너에게 난 스며든 빛
이 곳에서 우린 연락도
없는 곳을 바라 보았지
이런 이런 큰일이다
너를 마음에 둔게
평범한 신분으로 여기 보내져
보통의 존재로 살아온 지도
이젠 오래되었지
그동안 길따라 다니며
만난 많은 사람들
다가와 내게
손 내밀어 주었지
나를 모른채
나에게 넌 허무한 별빛
너에게 난 잊혀진 길
이곳에서 우린 변하지
않을 것을 약속했었지
이런 이런 큰일이다
너를 마음에 둔게
이런 이런 큰일이다
나를 너에게 준게
나에게 넌 너무나 먼 길
너에게 난 스며든 빛
언제였나 너는
영원히 꿈 속으로 떠나버렸지
나는 보통의 존재
어디에나 흔하지
당신의 기억 속에
남겨질 수 없었지
가장 보통의 존재
별로 쓸모는 없지
나를 부르는 소리
들려오지 않았지",,,
